City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
349,port-gentil,-0.7193,8.7815,28.03,73,38,2.8,GA,1682168687
350,cheyenne,41.14,-104.8203,-6.12,88,80,4.02,US,1682168467
351,haifa,32.8156,34.9892,25.16,62,20,6.69,IL,1682168688
352,bilma,18.6853,12.9164,40.07,6,5,8.26,NE,1682168688
353,vanavara,60.34,102.2797,-10.06,94,16,1.45,RU,1682168689
354,chapleau,47.8405,-83.4034,2.6,83,100,2.16,CA,1682168689
355,sakakah,29.9697,40.2064,32.46,13,93,2.52,SA,1682168690
356,isabela,6.7085,121.9711,27.36,78,100,1.25,PH,1682168455
357,cabedelo,-6.9811,-34.8339,30.37,62,73,7.9,BR,1682168691
358,fairbanks,64.8378,-147.7164,0.33,83,100,6.17,US,1682168691
359,maniitsoq,65.4167,-52.9,0.91,78,100,0.8,GL,1682168692
360,mattru,7.6244,-11.8332,36.49,37,35,1.46,SL,1682168692
361,hailin,44.5833,129.4167,2.7,26,4,2.9,CN,1682168693
362,sambava,-14.2667,50.1667,28.1,74,81,3.25,MG,1682168693
363,carballo,43.213,-8.691,18.81,70,16,5.41,ES,1682168460
364,acajutla,13.5928,-89.8275,27.62,73,8,1.46,SV,1682168694
365,ixtapa,20.7,-105.2,20.68,88,20,0.0,MX,1682168695
